block_group_geoid,population,lat,lon
420030404002,188,40.447857,-79.951897
420030405001,648,40.440549,-79.954974
420030405001,246,40.439553,-79.955096
420030405001,192,40.438772,-79.955080
420030405001,154,40.439813,-79.952012
420030405001,136,40.438485,-79.955397
420030405001,98,40.439837,-79.956734
420030405001,93,40.439908,-79.953781
420030405001,71,40.439631,-79.953020
420030405001,54,40.441085,-79.958065
420030405001,37,40.439076,-79.953558
420030405001,35,40.440216,-79.951697
420030405001,29,40.440060,-79.950936
420030405001,23,40.439286,-79.953033
420030405001,17,40.441340,-79.958603
420030405001,15,40.441023,-79.956919
420030405001,11,40.441666,-79.957719
420030405001,8,40.440533,-79.957603
420030405002,323,40.437146,-79.957034
420030405002,321,40.439286,-79.960551
420030405002,280,40.438158,-79.955805
420030405002,266,40.437727,-79.956324
420030405002,243,40.440344,-79.959086
420030405002,110,40.438568,-79.958795
420030405002,78,40.438039,-79.959518
420030405002,76,40.439404,-79.957348
420030405002,74,40.436631,-79.957964
420030405002,41,40.437717,-79.959979
420030405002,36,40.439299,-79.958271
420030405002,24,40.436933,-79.959008
420030405002,20,40.439635,-79.960950
420030405002,13,40.440688,-79.959507
420030405002,6,40.435658,-79.956919
420030405002,3,40.440098,-79.958216
420030406001,208,40.438980,-79.952591
420030406001,162,40.437405,-79.953916
420030406001,153,40.438525,-79.952172
420030406001,138,40.437829,-79.952968
420030406001,110,40.436753,-79.952881
420030406001,102,40.436686,-79.952183
420030406001,86,40.437158,-79.950714
420030406001,63,40.436821,-79.954048
420030406001,55,40.436604,-79.953399
420030406001,50,40.438402,-79.951016
420030406001,27,40.437434,-79.951755
420030406001,20,40.436371,-79.951930
420030406002,235,40.435400,-79.953688
420030406002,121,40.436127,-79.955428
420030406002,108,40.435312,-79.951019
420030406002,85,40.435222,-79.952495
420030406002,74,40.436291,-79.954613
420030406002,65,40.435311,-79.955117
420030406002,57,40.436711,-79.955050
420030406002,57,40.435574,-79.955592
420030406002,46,40.435375,-79.955970
420030406002,32,40.435231,-79.954632
420030409001,513,40.438293,-79.962336
420030409001,262,40.433869,-79.959196
420030409001,142,40.434974,-79.961392
420030409001,142,40.434553,-79.960603
420030409001,130,40.434453,-79.962555
420030409001,127,40.435143,-79.964425
420030409001,60,40.435285,-79.962075
420030409001,49,40.435507,-79.960303
420030409001,44,40.433875,-79.961100
420030409001,34,40.436753,-79.970184
420030409001,32,40.435343,-79.959447
420030409001,27,40.435375,-79.962783
420030409001,24,40.436842,-79.964890
420030409001,20,40.436866,-79.960837
420030409002,230,40.431956,-79.956905
420030409002,150,40.431054,-79.954608
420030409002,110,40.432272,-79.956193
420030409002,99,40.431992,-79.955528
420030409002,82,40.432855,-79.954257
420030409002,77,40.432289,-79.954374
420030409002,72,40.433610,-79.955902
420030409002,67,40.434030,-79.953996
420030409002,64,40.433671,-79.955163
420030409002,63,40.433310,-79.954152
420030409002,29,40.429017,-79.954741
420030409002,27,40.434561,-79.955351
420030409002,26,40.434234,-79.955783
420030409003,184,40.428932,-79.952156
420030409003,172,40.433024,-79.953000
420030409003,133,40.430681,-79.953537
420030409003,40,40.432277,-79.952413
420030409003,38,40.432768,-79.951678
420030409003,34,40.430941,-79.952700
420030409003,13,40.431619,-79.950299
420030409003,10,40.429236,-79.950201
420030501001,119,40.444784,-79.978285
420030501001,100,40.445433,-79.980182
420030501001,65,40.447101,-79.979731
420030501001,60,40.446122,-79.978568
420030501001,49,40.447618,-79.975477
420030501001,47,40.446481,-79.981179
420030501001,36,40.446176,-79.979245
420030501001,34,40.446165,-79.981934
420030501001,32,40.446520,-79.977604
420030501001,31,40.444320,-79.975053
420030501001,30,40.444504,-79.976403
420030501001,27,40.445114,-79.980936
420030501001,26,40.446219,-79.975604
420030501001,25,40.446322,-79.978086
420030501001,22,40.448581,-79.976826
420030501001,22,40.445235,-79.979209
420030501001,19,40.443848,-79.978525
420030501001,18,40.446971,-79.975858
420030501001,17,40.444037,-79.977505
420030501001,16,40.446327,-79.981560
420030501001,12,40.445020,-79.975339
420030501001,12,40.443620,-79.979064
420030501001,11,40.445950,-79.979737
420030501001,10,40.447414,-79.978291
420030501001,9,40.446923,-79.976676
420030501001,9,40.445448,-79.977079
420030501001,8,40.445459,-79.978721
420030501001,7,40.446644,-79.980809
420030501001,6,40.444988,-79.976776
420030501001,5,40.443453,-79.979445
420030501001,4,40.446731,-79.977136
420030501001,3,40.444280,-79.979850
420030501001,2,40.448163,-79.976548
420030501002,101,40.450879,-79.967358
420030501002,72,40.449922,-79.969584
420030501002,62,40.450521,-79.968164
420030501002,55,40.451762,-79.965544
420030501002,48,40.451940,-79.968321
420030501002,47,40.448893,-79.966688
420030501002,46,40.447872,-79.968938
420030501002,42,40.445047,-79.972336
420030501002,40,40.447023,-79.968146
420030501002,31,40.446275,-79.969580
420030501002,30,40.447206,-79.970182
420030501002,26,40.448396,-79.968564
420030501002,25,40.452616,-79.966572
420030501002,24,40.448631,-79.967904
420030501002,24,40.448160,-79.973242
420030501002,20,40.445772,-79.973142
420030501002,16,40.449830,-79.965557
420030501002,16,40.448061,-79.973995
420030501002,15,40.448603,-79.972732
420030501002,14,40.445302,-79.972968
420030501002,13,40.449152,-79.971423
420030501002,12,40.447587,-79.972432
420030501002,12,40.446937,-79.973921
420030501002,12,40.446420,-79.971732
420030501002,8,40.448111,-79.970824
420030501002,7,40.448940,-79.974758
420030501002,7,40.448919,-79.973663
420030501002,7,40.448830,-79.969452
420030501002,7,40.448102,-79.972204
420030501002,6,40.451795,-79.966925
420030501002,6,40.447845,-79.974488
420030501002,6,40.447266,-79.971541
420030501002,3,40.449880,-79.973172
420030501002,3,40.449384,-79.974977
420030501002,1,40.446206,-79.973445
420030506001,113,40.455591,-79.955856
420030506001,105,40.453623,-79.959821
420030506001,89,40.453587,-79.963150
420030506001,66,40.454008,-79.963958
420030506001,64,40.456299,-79.958137
420030506001,53,40.454327,-79.964137
