stop_uuid,gtfs_stop_id,stop_name,lat,lon,wheelchair_boarding
03d5b2a9-4728-4f5b-9707-5d3ae561f1cb,20941,PARKER ST + KLOEHLER FS,40.494289,-79.958847,0
03dde938-4495-4dc3-9916-667ec6ce52ed,9593,HWY RT 51 + GRACE,40.344044,-79.97174,0
03eec73f-f99c-43f3-a992-a93d0a7424b5,4764,SHJ BUS TURNAROUND SHELTER,40.421144968,-80.006245267,0
03f18cad-d75d-470c-a028-9f45621d8f27,7137,KELLY ST + TRENTON,40.441217,-79.892502,0
03f3b81c-e739-4f9a-bb1d-daae005d11cb,100043,Perry Hwy + West View Business Dist,40.519745546,-80.032442829,0
03f8be3c-fb2c-4f83-ae77-c58613652454,4412,MAIN ST + JANE,40.411938,-80.08001,0
03ff10f2-7190-4c32-9fc2-f75784cfa76a,18452,JOHNSTON AVE + RIVERMONT FS,40.406657,-79.927785,0
0409ce94-73e7-4103-b63f-d008c039cbf4,986,HENDERSON ST + JAY,40.460253,-80.001676,0
0423cf1b-9b42-4427-a206-87f700aefdcf,2729,MT TROY RD + PITTVIEW,40.469349,-79.981919,0
04243672-e717-4107-ba66-4546b119e849,7234,FORBES AVE + BRADDOCK,40.43958,-79.897924,0
