place,anchor,status,weekday_boardings,stops_now,stops_proposed,n_routes_now,n_routes_proposed,routes_now,routes_proposed,routes_kept,routes_lost,routes_gained
"Leetsdale borough (Allegheny, PA)",Downtown,gains,59.76,20,20,0,1,,14,,,14
"Leetsdale borough (Allegheny, PA)",Oakland,none either way,59.76,20,20,0,0,,,,,
Lincoln Place,Downtown,keeps,146.81,26,26,2,2,53L;56,53;56,56,53L,53
Lincoln Place,Oakland,keeps,146.81,26,26,1,2,56,53;56,56,,53
Lincoln-Lemington-Belmar,Downtown,keeps,387.68,69,64,3,2,82;P10;P17,1L;82,82,P10;P17,1L
Lincoln-Lemington-Belmar,Oakland,keeps,387.68,69,64,1,1,82,82,82,,
Lower Lawrenceville,Downtown,keeps,258.24,32,34,4,6,86;87;88;91,84;86;87;88;91;92,86;87;88;91,,84;92
Lower Lawrenceville,Oakland,keeps,258.24,32,34,2,4,54;93,54;81;84;9,54,93,81;84;9
Manchester,Downtown,keeps,186.58,25,20,2,2,13;17,13;14,13,17,14
Manchester,Oakland,none either way,186.58,25,20,0,0,,,,,
Marshall-Shadeland,Downtown,keeps,419.04,40,41,3,3,13;16;17,13;14;16,13;16,17,14
Marshall-Shadeland,Oakland,none either way,419.04,40,41,0,0,,,,,
"McCandless township (Allegheny, PA)",Downtown,keeps,230.01,100,26,5,3,12;2;O12;O5;P13,12;12L;18,12,2;O12;O5;P13,12L;18
"McCandless township (Allegheny, PA)",Oakland,gains,230.01,100,26,0,1,,9,,,9
"McKees Rocks borough (Allegheny, PA)",Downtown,keeps,565.95,51,46,4,4,20;21;22;24,21;22;24;27,21;22;24,20,27
"McKees Rocks borough (Allegheny, PA)",Oakland,none either way,565.95,51,46,0,0,,,,,
"McKeesport city (Allegheny, PA)",Downtown,keeps,885.06,117,135,5,3,52L;56;61C;P7;P76,52L;56;61X,52L;56,61C;P7;P76,61X
"McKeesport city (Allegheny, PA)",Oakland,keeps,885.06,117,135,2,2,56;61C,56;61X,56,61C,61X
Middle Hill,Downtown,keeps,415.15,26,32,3,3,81;82;83,82;83;84,82;83,81,84
Middle Hill,Oakland,keeps,415.15,26,32,3,4,81;82;83,81;82;83;84,81;82;83,,84
"Millvale borough (Allegheny, PA)",Downtown,keeps,83.76,10,15,2,2,1;2,2L;5,,1;2,2L;5
"Millvale borough (Allegheny, PA)",Oakland,gains,83.76,10,15,0,1,,9,,,9
"Monroeville municipality (Allegheny, PA)",Downtown,keeps,289.6,116,115,7,3,67;69;77;P12;P67;P68;P69,67;69;73L,67;69,77;P12;P67;P68;P69,73L
"Monroeville municipality (Allegheny, PA)",Oakland,loses,289.6,116,115,3,0,67;69;77,,,67;69;77,
