day,klass,length_m,geometry
weekday,kept,1594.9,"-80.02941,40.45722 -80.03062,40.46069 -80.03071,40.46141 -80.03056,40.46193 -80.02998,40.46248 -80.02931,40.46248 -80.02905,40.4622 -80.02927,40.46172 -80.02972,40.46164 -80.03016,40.46176 -80.03086,40.46224 -80.03333,40.4655 -80.03374,40.46653 -80.03483,40.4672"
weekday,kept,771.8,"-80.05261,40.49423 -80.05005,40.49863 -80.0523,40.49988"
weekday,kept,40.0,"-80.03469,40.51728 -80.03423,40.51735"
weekday,kept,199.2,"-80.0354,40.51682 -80.03568,40.51708 -80.03698,40.5175 -80.03744,40.51754"
weekday,kept,1469.8,"-80.00297,40.45083 -80.00406,40.45414 -80.00422,40.45426 -80.00789,40.45359 -80.008,40.45345 -80.00765,40.45222 -80.01081,40.45158 -80.01126,40.45161 -80.01314,40.45236 -80.01403,40.45247 -80.01409,40.45264"
weekday,added,80.0,"-80.01415,40.45282 -80.01439,40.45351"
weekday,kept,39.9,"-80.01446,40.45368 -80.01458,40.45403"
weekday,kept,1577.3,"-80.01535,40.4561 -80.0164,40.45924 -80.01693,40.45959 -80.01714,40.45963 -80.0224,40.45863 -80.02287,40.45862 -80.02352,40.45883 -80.02538,40.45992 -80.02942,40.46141"
weekday,kept,20.0,"-80.03035,40.46193 -80.03041,40.46211"
weekday,kept,3138.9,"-80.0303,40.46242 -80.02828,40.46393 -80.02509,40.46683 -80.025,40.46697 -80.02532,40.46912 -80.02565,40.46994 -80.02999,40.4691 -80.03014,40.46916 -80.03195,40.47493 -80.03351,40.47734 -80.03486,40.48153 -80.03396,40.48171 -80.03505,40.48235 -80.03541,40.483 -80.03558,40.48304"
weekday,added,439.9,"-80.03581,40.483 -80.04086,40.4821"
weekday,kept,99.8,"-80.04109,40.48206 -80.04155,40.48198 -80.0421,40.48165"
weekday,added,219.8,"-80.04227,40.48153 -80.04302,40.48084 -80.043,40.47977"
