place,anchor,origin_source,origin_points,origin_population,origin_centre_lat,origin_centre_lon,dest_lat,dest_lon,headline_current_median_min,headline_current_best_min,headline_current_worst_min,headline_current_reachable_fraction,headline_current_median_transfers,headline_current_median_wait_min,headline_proposed_median_min,headline_proposed_best_min,headline_proposed_worst_min,headline_proposed_reachable_fraction,headline_proposed_median_transfers,headline_proposed_median_wait_min,strict_current_median_min,strict_current_best_min,strict_current_worst_min,strict_current_reachable_fraction,strict_current_median_transfers,strict_current_median_wait_min,strict_proposed_median_min,strict_proposed_best_min,strict_proposed_worst_min,strict_proposed_reachable_fraction,strict_proposed_median_transfers,strict_proposed_median_wait_min,headline_current_origin_coverage_fraction,headline_current_dest_access_stops,headline_proposed_origin_coverage_fraction,headline_proposed_dest_access_stops,strict_current_origin_coverage_fraction,strict_current_dest_access_stops,strict_proposed_origin_coverage_fraction,strict_proposed_dest_access_stops,headline_classification,strict_classification,change_headline_min,change_strict_min,sign_flips_between_radii,spread_headline_min
Esplen,Downtown,stops,1,,40.462013,-80.052246,40.440773,-79.999105,26.2,20.2,39.2,1.0,0,3.8,28.7,19.3,48.3,1.0,0,5.8,26.3,20.3,39.3,1.0,0,3.8,28.7,19.3,48.3,1.0,0,5.8,1.0,42,1.0,38,1.0,42,1.0,38,comparable,comparable,2.5,2.4,False,
Esplen,Oakland,stops,1,,40.462013,-80.052246,40.443719,-79.958853,51.2,36.2,60.2,1.0,1,10.5,47.2,37.2,68.2,1.0,1,10.9,51.2,36.2,64.2,1.0,1,11.4,47.2,37.2,68.2,1.0,1,10.9,1.0,14,1.0,11,1.0,14,1.0,11,comparable,comparable,-4.0,-4.0,False,
"Etna borough (Allegheny, PA)",Downtown,residents,5,4146.0,40.500747,-79.947243,40.440773,-79.999105,50.9,26.2,103.9,0.829,0,8.9,46.3,27.3,72.3,0.808,0,11.5,50.9,26.2,103.9,0.829,0,8.9,46.3,27.3,72.3,0.808,0,11.5,0.829,42,0.829,38,0.829,42,0.829,38,comparable,comparable,-4.6,-4.6,False,17.4
"Etna borough (Allegheny, PA)",Oakland,residents,5,4146.0,40.500747,-79.947243,40.443719,-79.958853,73.2,51.2,122.2,0.829,1,16.0,65.2,43.2,92.4,0.808,1,18.6,75.0,54.2,122.2,0.829,1,19.8,65.2,43.2,92.4,0.808,1,20.7,0.829,14,0.829,11,0.829,14,0.829,11,comparable,comparable,-8.0,-9.8,False,12.2
Fairywood,Downtown,residents,1,1092.0,40.448889,-80.077737,40.440773,-79.999105,45.2,31.7,68.2,1.0,1,11.4,53.3,33.3,73.7,1.0,1,18.4,45.3,31.7,68.3,1.0,1,11.4,53.3,33.3,73.7,1.0,1,18.4,1.0,42,1.0,38,1.0,42,1.0,38,comparable,comparable,8.1,8.0,False,
Fairywood,Oakland,residents,1,1092.0,40.448889,-80.077737,40.443719,-79.958853,67.2,46.2,91.2,1.0,1,17.8,70.2,43.2,95.2,1.0,1,24.8,67.2,46.2,91.2,1.0,1,17.9,70.2,43.2,95.2,1.0,1,24.8,1.0,14,1.0,11,1.0,14,1.0,11,comparable,comparable,3.0,3.0,False,
"Findlay township (Allegheny, PA)",Downtown,stops,1,,40.432839,-79.937307,40.440773,-79.999105,45.1,30.1,62.0,1.0,1,15.9,36.2,25.2,53.2,1.0,0,10.2,45.1,30.1,63.1,1.0,1,19.7,39.2,25.2,53.2,1.0,0,12.2,1.0,42,1.0,38,1.0,42,1.0,38,comparable,comparable,-8.9,-5.9,False,
"Findlay township (Allegheny, PA)",Oakland,stops,1,,40.432839,-79.937307,40.443719,-79.958853,32.2,21.2,48.2,1.0,0,10.3,29.2,16.2,50.4,1.0,0,11.2,34.2,21.2,48.2,1.0,0,11.9,32.2,16.2,55.2,1.0,0,14.2,1.0,14,1.0,11,1.0,14,1.0,11,comparable,comparable,-3.0,-2.0,False,
Fineview,Downtown,residents,3,1702.0,40.463927,-80.006405,40.440773,-79.999105,29.9,23.9,41.9,1.0,0,4.4,32.9,24.3,46.9,1.0,0,7.0,29.9,23.9,41.9,1.0,0,4.4,32.9,24.3,46.9,1.0,0,7.0,1.0,42,1.0,38,1.0,42,1.0,38,comparable,comparable,3.0,3.0,False,0.6
Fineview,Oakland,residents,3,1702.0,40.463927,-80.006405,40.443719,-79.958853,54.2,43.2,68.2,1.0,1,9.7,53.2,41.2,66.2,1.0,1,11.9,59.2,44.2,73.2,1.0,2,16.4,56.2,41.2,73.2,1.0,1,16.0,1.0,14,1.0,11,1.0,14,1.0,11,comparable,comparable,-1.0,-3.0,False,1.0
"Forest Hills borough (Allegheny, PA)",Downtown,residents,8,8468.0,40.423406,-79.849568,40.440773,-79.999105,46.0,31.0,103.0,0.391,0,10.9,62.0,38.5,106.0,0.391,0,17.9,46.0,31.0,103.0,0.391,0,10.9,62.0,38.5,106.0,0.391,0,18.3,0.537,42,0.537,38,0.537,42,0.537,38,comparable,comparable,16.0,16.0,False,6.7
"Forest Hills borough (Allegheny, PA)",Oakland,residents,8,8468.0,40.423406,-79.849568,40.443719,-79.958853,59.0,39.0,96.0,0.391,1,13.9,68.4,43.4,113.4,0.391,1,30.7,61.0,39.0,96.0,0.391,1,17.3,68.4,43.4,113.4,0.391,1,30.7,0.537,14,0.537,11,0.537,14,0.537,11,comparable,comparable,9.4,7.4,False,11.0
"Fox Chapel borough (Allegheny, PA)",Downtown,residents,1,848.0,40.497827,-79.893607,40.440773,-79.999105,76.5,57.5,92.9,1.0,1,21.7,71.5,57.4,87.0,1.0,1,18.7,76.5,57.5,93.0,1.0,1,22.7,72.5,57.4,87.0,1.0,1,17.7,1.0,42,1.0,38,1.0,42,1.0,38,comparable,comparable,-5.0,-4.0,False,
"Fox Chapel borough (Allegheny, PA)",Oakland,residents,1,848.0,40.497827,-79.893607,40.443719,-79.958853,76.0,58.0,93.0,1.0,0,17.7,62.4,52.4,74.4,1.0,0,9.7,76.0,58.0,93.0,1.0,0,17.7,62.4,52.4,74.4,1.0,0,9.7,1.0,14,1.0,11,1.0,14,1.0,11,comparable,comparable,-13.6,-13.6,False,
Friendship,Downtown,residents,2,1963.0,40.46052,-79.934367,40.440773,-79.999105,25.0,19.7,42.9,1.0,0,3.4,26.5,20.7,46.0,1.0,0,3.4,25.0,19.7,50.4,1.0,0,2.7,26.5,20.7,49.5,1.0,0,2.8,1.0,42,1.0,38,1.0,42,1.0,38,comparable,comparable,1.5,1.5,False,1.8
Friendship,Oakland,residents,2,1963.0,40.46052,-79.934367,40.443719,-79.958853,26.0,20.0,36.0,1.0,0,3.5,25.4,19.4,36.7,1.0,0,3.5,26.0,20.0,36.0,1.0,0,3.5,25.4,19.4,36.7,1.0,0,4.8,1.0,14,1.0,11,1.0,14,1.0,11,comparable,comparable,-0.6,-0.6,False,2.3
Garfield,Downtown,residents,7,5794.0,40.465723,-79.938735,40.440773,-79.999105,40.7,26.7,109.9,1.0,1,8.5,37.5,23.7,56.5,1.0,0,7.6,42.9,26.9,109.9,1.0,0,7.9,39.7,23.7,63.7,1.0,0,8.9,1.0,42,1.0,38,1.0,42,1.0,38,comparable,comparable,-3.2,-3.2,False,30.3
